X,Y,Z,R,G,B
-85.3016208557129,29.802710713500975,9.13799953460693,184,180,158
-85.30160559692384,29.80270689880371,7.12900018692017,195,194,178
-85.30161322631837,29.802704991455077,5.45900011062622,195,194,178
-85.30161322631837,29.80270689880371,8.66899967193604,195,194,178
-85.30161322631837,29.802704991455077,7.09899997711182,195,194,178
-85.30161322631837,29.802704991455077,9.67700004577637,195,194,178
-85.3016208557129,29.802704991455077,8.46700000762939,187,184,167
-85.30160559692384,29.802699269409178,6.44999980926514,202,198,185
-85.30161322631837,29.802697362060545,6.13899993896484,199,194,181
-85.30161322631837,29.802699269409178,8.90900039672852,199,194,181
-85.30161322631837,29.802689732666014,7.43699979782104,199,194,179
-85.30161322631837,29.802689732666014,6.81799983978271,199,194,179
-85.3015979675293,29.802582921142577,6.86700010299683,191,189,176
-85.30160559692384,29.802581013793944,7.68699979782104,149,151,139
-85.30159033813477,29.80257910644531,6.83699989318848,191,189,176
-85.3015979675293,29.802577199096678,6.77899980545044,149,151,139
-85.30159033813477,29.80257147705078,7.43699979782104,195,192,177
-85.3015979675293,29.802569569702147,7.60799980163574,195,192,177
-85.3015979675293,29.802561940307616,7.20900011062622,193,191,175
-85.30159033813477,29.80255812561035,7.01700019836426,199,197,183
-85.3015979675293,29.80255812561035,7.21799993515015,193,191,175
-85.3015979675293,29.80255812561035,8.92800045013428,164,162,134
-85.30155982055665,29.80234068786621,7.39799976348877,124,124,115
-85.30156744995118,29.80234068786621,7.80900001525879,77,75,89
-85.30155982055665,29.802336873168944,6.41599988937378,124,124,115
-85.30155982055665,29.80233496582031,7.64699983596802,124,124,115
-85.30156744995118,29.80233496582031,8.00699996948242,77,75,89
-85.30155219116212,29.802329243774413,7.69600009918213,110,103,110
-85.30155982055665,29.802329243774413,6.70900011062622,110,103,110
-85.30155982055665,29.80232733642578,7.68699979782104,110,103,110
-85.30155219116212,29.80232161437988,6.55600023269653,167,163,146
-85.30155982055665,29.80232161437988,7.17799997329712,114,110,110
-85.30156744995118,29.80231970703125,8.14700031280518,74,79,88
-85.30155982055665,29.802312077636717,7.56799983978271,109,117,107
-85.30156744995118,29.802312077636717,8.91800022125244,61,76,75
-85.30155982055665,29.802304448242186,8.1560001373291,114,104,108
-85.30155219116212,29.80230063354492,7.73899984359741,114,104,108
-85.30155982055665,29.80230063354492,8.4370002746582,114,104,108
-85.30153693237305,29.802195729370116,8.66899967193604,131,130,107
-85.30154456176759,29.802193822021483,8.58600044250488,105,100,95
-85.30153693237305,29.802188099975584,8.34799957275391,146,144,129
-85.30154456176759,29.80218619262695,8.67800045013428,146,144,129
-85.30154456176759,29.802180470581053,8.4060001373291,146,144,129
-85.30154456176759,29.802172841186522,11.45699977874756,169,158,144
-85.30154456176759,29.802163304443358,11.26799964904785,140,131,122
-85.30162848510743,29.802777470703123,5.21799993515015,55,71,92
-85.30162848510743,29.802766026611327,5.88899993896484,50,63,98
-85.30162848510743,29.802739323730467,6.41900014877319,45,56,78
-85.3016208557129,29.802729786987303,7.41900014877319,133,128,127
-85.3016208557129,29.802729786987303,5.91900014877319,133,128,127
-85.30161322631837,29.80272787963867,6.90700006484985,190,186,169
-85.3016208557129,29.802725972290038,8.09899997711182,179,178,154
-85.3016208557129,29.802725972290038,7.18699979782104,179,178,154
-85.30161322631837,29.802724064941405,5.97700023651123,190,186,169
-85.3016208557129,29.802718342895506,9.11699962615967,184,180,158
-85.3016208557129,29.802716435546873,8.22999954223633,184,180,158
-85.3016208557129,29.802718342895506,7.01999998092651,184,180,158
-85.30161322631837,29.80271452819824,8.19900035858154,191,188,170
-85.3016208557129,29.802716435546873,6.17799997329712,184,180,158
-85.30160559692384,29.802712620849608,7.13800001144409,205,201,192
-85.30160559692384,29.802712620849608,6.28800010681152,205,201,192
-85.30161322631837,29.80270689880371,9.58899974822998,195,194,178
-85.3016208557129,29.802708806152342,8.44900035858154,187,184,167
-85.30161322631837,29.80270689880371,8.6870002746582,195,194,178
-85.30161322631837,29.802704991455077,6.86700010299683,195,194,178
-85.30161322631837,29.802704991455077,5.38899993896484,195,194,178
-85.3016208557129,29.802704991455077,8.41899967193604,187,184,167
-85.30161322631837,29.802703084106444,8.61699962615967,195,194,178
-85.3016208557129,29.802703084106444,6.87900018692017,187,184,167
-85.30161322631837,29.80270117675781,6.66900014877319,195,194,178
-85.30160559692384,29.802699269409178,6.28800010681152,202,198,185
-85.30161322631837,29.80269354736328,8.95800018310547,199,194,181
-85.3016208557129,29.80269354736328,7.45800018310547,192,189,174
-85.30161322631837,29.80269354736328,7.04699993133545,199,194,181
-85.3016208557129,29.80269354736328,5.52899980545044,192,189,174
-85.30161322631837,29.80268782531738,6.35799980163574,199,194,179
-85.30160559692384,29.80258482849121,7.38800001144409,149,151,139
-85.3015979675293,29.802577199096678,7.8270001411438,149,151,139
-85.30159033813477,29.802575291748045,7.7480001449585,191,189,176
-85.3015979675293,29.802577199096678,6.32800006866455,191,189,176
-85.3015979675293,29.802569569702147,7.59899997711182,151,156,136
-85.30159033813477,29.802567662353514,7.47700023651123,195,192,177
-85.3015979675293,29.802561940307616,9.16800022125244,193,191,175
-85.3015979675293,29.802560032958983,7.14799976348877,193,191,175
-85.30156744995118,29.802342595214842,7.58599996566772,54,58,74
-85.30155982055665,29.80234068786621,6.70900011062622,124,124,115
-85.30156744995118,29.802338780517577,7.70800018310547,77,75,89
-85.30155982055665,29.802336873168944,7.69600009918213,124,124,115
-85.30155219116212,29.80233496582031,6.33699989318848,124,124,115
-85.30156744995118,29.802325429077147,7.42799997329712,70,73,84
-85.30155982055665,29.802323521728514,6.89799976348877,114,110,110
-85.30155982055665,29.80231970703125,8.29699993133545,114,110,110
-85.30155982055665,29.802317799682616,6.60799980163574,114,110,110
-85.30156744995118,29.80230635559082,8.05900001525879,61,76,75
-85.30155982055665,29.802298726196288,8.34799957275391,114,104,108
-85.30153693237305,29.802195729370116,8.7480001449585,131,130,107
-85.30154456176759,29.802188099975584,8.55900001525879,146,144,129
-85.30153693237305,29.80218619262695,8.48900032043457,148,148,129
-85.30154456176759,29.802182377929686,8.57699966430664,132,125,109
-85.30154456176759,29.80217093383789,11.48799991607666,169,158,144
-85.30154456176759,29.802161397094725,11.29599952697754,56,57,87
-85.30154456176759,29.80216521179199,11.52799987792969,140,131,122
-85.30154456176759,29.802172841186522,11.66800022125244,169,158,144
-85.30155982055665,29.80231398498535,8.88799953460693,61,76,75
-85.30155982055665,29.802315892333983,7.79699993133545,114,110,110
-85.30156744995118,29.80232733642578,8.67800045013428,70,73,84
-85.30155982055665,29.80232733642578,7.71799993515015,110,103,110
-85.30155982055665,29.80233496582031,7.97700023651123,124,124,115
-85.30156744995118,29.80234068786621,6.75699996948242,77,75,89
-85.30155982055665,29.80234068786621,7.93699979782104,124,124,115
-85.3015979675293,29.802569569702147,8.58899974822998,151,156,136
-85.3015979675293,29.802569569702147,7.78800010681152,195,192,177
-85.3015979675293,29.802573384399413,7.81799983978271,195,192,177
-85.30160559692384,29.802581013793944,7.84899997711182,149,151,139
-85.30161322631837,29.802691640014647,7.37900018692017,199,194,179
-85.3016208557129,29.802699269409178,6.08699989318848,192,189,174
-85.30161322631837,29.80270117675781,6.52899980545044,199,194,181
-85.30161322631837,29.802699269409178,8.95800018310547,199,194,181
-85.3016208557129,29.80270689880371,9.64700031280518,187,184,167
-85.30161322631837,29.802708806152342,8.57699966430664,195,194,178
-85.3016208557129,29.80271452819824,6.30900001525879,184,180,158
-85.3016208557129,29.80271452819824,8.02799987792969,184,180,158
-85.30161322631837,29.802716435546873,8.25699996948242,191,188,170
-85.3016208557129,29.80272025024414,6.42799997329712,179,178,154
-85.3016208557129,29.80272025024414,8.03800010681152,179,178,154
-85.30161322631837,29.802722157592772,8.29699993133545,190,186,169
-85.30162848510743,29.80276793395996,6.25799989700317,50,63,98
-85.30162848510743,29.802773656005858,6.09899997711182,55,71,92
-85.30153693237305,29.802195729370116,8.89700031280518,135,130,114
-85.30155982055665,29.802302540893553,8.97599983215332,114,104,108
-85.30155982055665,29.802310170288084,9.10700035095215,109,117,107
-85.30155982055665,29.802312077636717,7.80900001525879,109,117,107
-85.30155982055665,29.80232161437988,8.64700031280518,114,110,110
-85.30155219116212,29.80231970703125,7.43699979782104,167,163,146
-85.30155219116212,29.802325429077147,7.96700000762939,165,161,147
-85.30156744995118,29.802329243774413,8.63799953460693,70,73,84
-85.30155219116212,29.80233496582031,7.73899984359741,173,169,149
-85.30155982055665,29.802336873168944,8.02799987792969,124,124,115
-85.30156744995118,29.802336873168944,7.27899980545044,77,75,89
-85.30159033813477,29.802567662353514,8.1560001373291,195,192,177
-85.3015979675293,29.802569569702147,8.26900005340576,151,156,136
-85.30159033813477,29.802573384399413,7.85799980163574,195,192,177
-85.3015979675293,29.80258482849121,8.02799987792969,183,175,160
-85.30159033813477,29.80258482849121,7.10799980163574,183,175,160
-85.3015979675293,29.802586735839842,6.94600009918213,161,153,143
-85.3015979675293,29.802590550537108,6.96799993515015,161,153,143
-85.30161322631837,29.802691640014647,7.61700010299683,199,194,179
-85.3016208557129,29.80269354736328,7.13800001144409,192,189,174
-85.3016208557129,29.802703084106444,9.84799957275391,187,184,167
-85.30161322631837,29.80270117675781,8.87899971008301,195,194,178
-85.30160559692384,29.80270689880371,8.85799980163574,205,202,192
-85.3016208557129,29.802708806152342,9.78699970245361,187,184,167
-85.30161322631837,29.802708806152342,8.65900039672852,195,194,178
-85.30160559692384,29.80270689880371,7.45800018310547,205,202,192
-85.30160559692384,29.80271452819824,8.31799983978271,191,188,170
